ticker,date,close,volume
ADHI.JK,2025-11-11 16:00:00,264,10325200
ADHI.JK,2025-11-12 16:00:00,260,7620000
ADHI.JK,2025-11-13 16:00:00,258,7911500
ADHI.JK,2025-11-14 16:00:00,258,6921900
ADHI.JK,2025-11-17 16:00:00,260,10697600
ADHI.JK,2025-11-18 16:00:00,258,6037700
ADHI.JK,2025-11-19 16:00:00,256,4647900
ADHI.JK,2025-11-20 16:00:00,260,122531600
ADHI.JK,2025-11-21 16:00:00,258,12651600
ADHI.JK,2025-11-24 16:00:00,256,29296300
ADHI.JK,2025-11-25 16:00:00,250,58400000
ADHI.JK,2025-11-26 16:00:00,252,59852000
ADHI.JK,2025-11-27 16:00:00,250,11452500
ADHI.JK,2025-11-28 16:00:00,250,13002200
ADHI.JK,2025-12-01 16:00:00,244,21218600
ADHI.JK,2025-12-02 16:00:00,238,16017700
ADHI.JK,2025-12-03 16:00:00,242,94374400
ADHI.JK,2025-12-04 16:00:00,246,68712300
ADHI.JK,2025-12-05 16:00:00,248,68962500
ADHI.JK,2025-12-08 16:00:00,250,17072800
ADHI.JK,2025-12-09 16:00:00,246,10445400
ADHI.JK,2025-12-10 16:00:00,248,6646200
ADRO.JK,2025-11-11 16:00:00,1950,130750300
ADRO.JK,2025-11-12 16:00:00,1965,96844300
ADRO.JK,2025-11-13 16:00:00,1930,89248300
ADRO.JK,2025-11-14 16:00:00,1880,110646200
ADRO.JK,2025-11-17 16:00:00,1910,104434100
ADRO.JK,2025-11-18 16:00:00,1880,98428200
ADRO.JK,2025-11-19 16:00:00,1920,74350800
ADRO.JK,2025-11-20 16:00:00,1905,52140900
ADRO.JK,2025-11-21 16:00:00,1870,60223900
ADRO.JK,2025-11-24 16:00:00,1875,88910200
ADRO.JK,2025-11-25 16:00:00,1855,53971700
ADRO.JK,2025-11-26 16:00:00,1845,64919800
ADRO.JK,2025-11-27 16:00:00,1810,70755600
ADRO.JK,2025-11-28 16:00:00,1810,48940700
ADRO.JK,2025-12-01 16:00:00,1820,44059900
ADRO.JK,2025-12-02 16:00:00,1840,52388300
ADRO.JK,2025-12-03 16:00:00,1850,24998900
ADRO.JK,2025-12-04 16:00:00,1810,46528500
ADRO.JK,2025-12-05 16:00:00,1815,42791600
ADRO.JK,2025-12-08 16:00:00,1900,173167600
ADRO.JK,2025-12-09 16:00:00,1835,104418300
ADRO.JK,2025-12-10 16:00:00,1830,51947100
